time,open,high,low,close
1732806000,6435.25,6439.5,6434.75,6437.25
1732834800,6434,6440,6425,6439.5
1732849200,6439.5,6442.5,6435.75,6437.75
1732863600,6438,6442.25,6430.5,6439.5
1732878000,6439,6441,6425.5,6440
1732892400,6440,6467,6439.75,6458.5
1733094000,6458.75,6461.5,6447.75,6448.5
1733108400,6448.75,6450.25,6442.5,6446.25
1733122800,6446.5,6449.5,6444.25,6447.25
1733137200,6447.25,6469,6447,6460.75
1733151600,6461,6472,6456.25,6470
1733166000,6470,6475.5,6463,6470
1733180400,6470,6473.25,6467,6468.75
1733194800,6468.75,6474.5,6468.75,6470
1733209200,6469.75,6473.5,6467.25,6467.25
1733223600,6467.5,6474.25,6459,6465
1733238000,6465,6470,6454.5,6465.5
1733252400,6465.75,6477.75,6462.75,6474
1733266800,6474,6477.75,6470.25,6476.75
1733281200,6477,6480.75,6474.25,6478.5
1733295600,6478.5,6487,6476.25,6485.5
1733310000,6485.75,6492.75,6485,6489.5
1733324400,6489.25,6496,6479.5,6490
1733338800,6490,6509.25,6487.5,6502.5
1733353200,6502.5,6503.75,6498,6500.25
1733367600,6500.25,6504,6499.25,6503
1733382000,6502.75,6504.75,6500,6501.25
1733396400,6501.25,6508,6499.5,6507
1733410800,6507.25,6514.25,6497.25,6503
1733425200,6503.25,6506,6488.5,6492.75
1733439600,6492.25,6494,6486.5,6492.25
1733454000,6492.5,6493.25,6487.5,6491.75
1733468400,6492,6496,6487.25,6487.5
1733482800,6487.75,6520,6482.75,6517
1733497200,6516.75,6518.5,6497.5,6507.25
1733511600,6507.25,6508.25,6497,6503.75
1733698800,6503.5,6510,6501,6504
1733713200,6504,6505,6500.5,6503.25
1733727600,6503,6512.75,6499.25,6500.5
1733742000,6500.5,6505.75,6495.25,6500.5
1733756400,6500.5,6501.5,6472,6485.75
1733770800,6485.75,6486,6466.75,6470
1733785200,6471,6472.5,6466.25,6467.75
1733799600,6467.75,6470.75,6467,6468.25
1733814000,6468.25,6473.5,6464.25,6473
1733828400,6473.25,6479.75,6468,6475.5
1733842800,6475.75,6482.25,6465.75,6466
1733857200,6465.75,6466.5,6446.5,6460
1733871600,6460,6461.75,6455.25,6457.25
1733886000,6457.25,6459.75,6454,6459.5
1733900400,6459.75,6460.5,6452.5,6458.25
1733914800,6458,6491,6456.75,6490.75
1733929200,6490.75,6509.5,6487.75,6503
1733943600,6503,6507,6493.5,6494.25
1733958000,6495,6495.5,6489,6490.25
1733972400,6490.25,6494.5,6489.75,6491.75
1733986800,6491.5,6492.75,6488,6490
1734001200,6490,6495,6478.25,6485
1734015600,6485,6494.75,6474.5,6480.5
1734030000,6480.5,6484.25,6461.75,6465.5
1734044400,6471,6478,6467.75,6472.5
1734058800,6472.25,6476.75,6468.5,6476.75
1734073200,6476.5,6488.5,6473.5,6487.75
1734087600,6487.5,6492.25,6479.75,6482.25
1734102000,6482.25,6482.75,6448.25,6461.25
1734116400,6461.25,6467.25,6454,6458
1734303600,6462.25,6469.75,6458.75,6468.75
1734318000,6468.75,6469.75,6462.75,6466.25
1734332400,6466.25,6476,6463.75,6473
1734346800,6473.25,6484.25,6468.75,6482.25
1734361200,6482.25,6497.75,6471.5,6495.75
1734375600,6496,6497.5,6480,6483.75
1734390000,6485,6487,6477.25,6485.75
1734404400,6485.75,6487,6474.75,6476.25
1734418800,6476.75,6478,6466.5,6473
1734433200,6473.25,6477.25,6455.75,6464
1734447600,6463.75,6472.5,6451.25,6463.25
1734462000,6463,6467.5,6448.5,6459.75
1734476400,6461,6469.5,6447.25,6469
1734490800,6469,6472.25,6463.5,6470.5
1734505200,6470.5,6480,6467,6478.75
1734519600,6478.5,6481.5,6452.75,6463.5
1734534000,6463.5,6482.5,6462,6469.75
1734548400,6470.5,6471.5,6241.25,6274.5
1734562800,6280.25,6291.5,6272.5,6278.25
1734577200,6278.5,6284.75,6270,6277.75
1734591600,6277.5,6306.25,6276.5,6295.5
1734606000,6295.75,6339.75,6293.75,6315.25
1734620400,6314.75,6322,6279.75,6320.5
1734634800,6320.25,6320.75,6265.5,6275.75
1734649200,6278,6278.5,6239.25,6246
1734663600,6246,6261,6235.5,6260.5
1734678000,6260.5,6262.25,6212.75,6222.5
1734692400,6222.5,6266,6200,6244.25
1734706800,6244.75,6385,6244.75,6347.5
1734721200,6347.5,6367,6321.5,6330.75
1734908400,6336.25,6360.5,6336.25,6358.25
1734922800,6358,6367.5,6354,6365
1734937200,6365,6365.75,6339.75,6340.5
1734951600,6340.75,6344,6315.25,6327.25
1734966000,6327.25,6364,6299.25,6361.25
1734980400,6361.25,6377.25,6346,6370
1734994800,6371,6376.75,6364.25,6370
1735009200,6370,6372.5,6366,6370.75
1735023600,6371,6380.5,6367.75,6378.25
1735038000,6378,6394.25,6371.5,6393.5
1735052400,6393.25,6433.75,6393,6433.25
1735167600,6433.25,6437,6429.25,6434
1735182000,6433.75,6439.5,6433.5,6433.5
1735196400,6433.75,6436.5,6403.25,6407.75
1735210800,6408,6420.75,6396.25,6416.25
1735225200,6416,6441.75,6410,6430
1735239600,6429.75,6438,6423,6425.75
1735254000,6426.75,6429.5,6417.25,6419
1735268400,6419,6420.75,6411.75,6413.75
1735282800,6413.5,6415.5,6404.5,6408.25
1735297200,6408.25,6413,6375.5,6379.25
1735311600,6379,6381.25,6317,6350
1735326000,6349.75,6368,6337.25,6363.25
1735513200,6362.75,6369.75,6351.5,6355
1735527600,6354.75,6355,6345,6348.5
1735542000,6348.25,6350,6337.75,6347
1735556400,6347.25,6350.5,6261.25,6261.5
1735570800,6261.5,6327.5,6252.5,6321.25
1735585200,6321.25,6323,6282.25,6288.5
1735599600,6289,6300.25,6277.75,6293.5
1735614000,6293.5,6294.75,6282.75,6286
1735628400,6286,6314.25,6283.5,6311.25
1735642800,6311.5,6317.75,6293.25,6308
1735657200,6307.75,6314.25,6254.75,6260.75
1735671600,6261,6283.25,6250.75,6272.5
1735772400,6281.25,6292.5,6245,6290
1735786800,6290,6302.5,6281.75,6301
1735801200,6301,6309.25,6287.25,6306.5
1735815600,6306.5,6329.5,6268.75,6309.25
1735830000,6309,6319.5,6209,6223.25
1735844400,6223.5,6259.5,6218,6254.25
1735858800,6254.5,6267.75,6245.5,6264.75
1735873200,6265,6268.5,6258,6263.5
